Scheduled time,Updated time,Arrival city,Airline,Flight number,Gate,Status,Distance,Price,,,,,,,,,,,,,
8:25 AM,8:51 AM,Albany,Southwest,1195,B5,DEPARTED,289,57.80,,,,,,,,,,,,,
10:55 AM,10:55 AM,Albany,Southwest,4123,B6,ON TIME,289,57.80,,,,,,,,,,,,,
2:40 PM,2:40 PM,Albany,Southwest,3054,B4,ON TIME,289,57.80,,,,,,,,,,,,,
5:05 PM,5:05 PM,Albany,Southwest,1329,B14,ON TIME,289,57.80,,,,,,,,,,,,,
9:30 AM,9:30 AM,Albuquerque,Southwest,6174,B12,BOARDING,1670,334.00,,,,,,,,,,,,,
3:45 PM,3:45 PM,Albuquerque,Southwest,3229,A14,ON TIME,1670,334.00,,,,,,,,,,,,,
7:55 AM,8:09 AM,Atlanta,Southwest,859,A15,DEPARTED,577,115.40,,,,,,,,,,,,,
8:15 AM,8:15 AM,Atlanta,Delta,1073,D24,DEPARTED,577,115.40,,,,,,,,,,,,,
10:30 AM,10:30 AM,Atlanta,Southwest,2998,C8,ON TIME,577,115.40,,,,,,,,,,,,,
12:07 PM,12:07 PM,Atlanta,Delta,920,D25,ON TIME,577,115.40,,,,,,,,,,,,,
1:05 PM,1:05 PM,Atlanta,Southwest,1476,B10,ON TIME,577,115.40,,,,,,,,,,,,,
1:59 PM,1:59 PM,Atlanta,Delta,2711,D26,ON TIME,577,115.40,,,,,,,,,,,,,
4:10 PM,4:10 PM,Atlanta,Southwest,1017,A15,ON TIME,577,115.40,,,,,,,,,,,,,
4:48 PM,4:48 PM,Atlanta,Delta,2799,D25,ON TIME,577,115.40,,,,,,,,,,,,,
5:55 PM,5:55 PM,Atlanta,Southwest,2392,B9,ON TIME,577,115.40,,,,,,,,,,,,,
6:11 PM,6:11 PM,Atlanta,Delta,2643,D26,ON TIME,577,115.40,,,,,,,,,,,,,
7:50 PM,7:50 PM,Atlanta,Delta,2670,D25,ON TIME,577,115.40,,,,,,,,,,,,,
8:00 PM,8:00 PM,Atlanta,Southwest,969,B12,ON TIME,577,115.40,,,,,,,,,,,,,
9:35 AM,9:47 AM,Austin,Southwest,878,A8,BOARDING,1342,268.40,,,,,,,,,,,,,
3:30 PM,3:30 PM,Austin,Southwest,1650,A11,ON TIME,1342,268.40,,,,,,,,,,,,,
7:40 PM,7:45 PM,Austin,Southwest,1223,B3,ON TIME,1342,268.40,,,,,,,,,,,,,
12:55 PM,12:55 PM,Birmingham,Southwest,3790,A14,ON TIME,682,136.40,,,,,,,,,,,,,
8:35 AM,8:49 AM,Boston,Southwest,2387,B10,DEPARTED,370,74.00,,,,,,,,,,,,,
9:08 AM,9:08 AM,Boston,JetBlue,526,D2,DEPARTED,370,74.00,,,,,,,,,,,,,
10:40 AM,10:40 AM,Boston,Delta,5632,D24,ON TIME,370,74.00,,,,,,,,,,,,,
10:50 AM,10:50 AM,Boston,Southwest,3380,B7,ON TIME,370,74.00,,,,,,,,,,,,,
12:15 PM,12:15 PM,Boston,Southwest,2048,A7,ON TIME,370,74.00,,,,,,,,,,,,,
1:20 PM,1:20 PM,Boston,Southwest,4067,B4,ON TIME,370,74.00,,,,,,,,,,,,,
3:00 PM,3:00 PM,Boston,Southwest,2364,C8,ON TIME,370,74.00,,,,,,,,,,,,,
3:35 PM,3:35 PM,Boston,Delta,5709,D23,ON TIME,370,74.00,,,,,,,,,,,,,
6:15 PM,6:15 PM,Boston,JetBlue,1026,D2,ON TIME,370,74.00,,,,,,,,,,,,,
